Local Area,Clientele - Seniors,NonSeniors,Rented,Owned,SeniorsPerFSApercentage,CURRENT_HOUSE_PRICE,FSA,OthersHousing
Arbutus-Ridge,46.5454545454545,65.9511507750117,9.3,44,28,3732646.52406417,V6L,15.9511507750117
Downtown,16.7165171153207,97.6675788532039,19,66.5,11.9,6502689.05755164,V6Z,0.6675788532039
Dunbar-Southlands,0,100,3.7,42.2,19.1,3767743.83913684,V6S,8.99997778
Fairview,14.6448087431694,90.0711409023797,9.6,54.2,20.3,2501869.04133685,V6H,9.0711409023797
Grandview-Woodland,32.6278659611993,88.9093115871602,22.3,63.2,13.2,1387859.8956044,V5L,7.9093115871602
Hastings-Sunrise,42.741208295762,75.6935798247773,17.4,49,20.4,1549337.24850462,V5K,3.6935798247773
Kensington-Cedar Cottage,36.2424242424242,56.5539506305918,9.3,55.8,15.9,1411645.27911902,V5N,3.5539506305918
Kerrisdale,0,99.8999,2.4,37.8,21.6,2942700.37578288,V6P,0.6666
Killarney,13.6655341638354,90.4060182168634,29.3,53.7,20.2,2000768.01006711,V5S,9.4060182168634
Kitsilano,37.6657824933687,82.5805945974189,6.3,53,15.5,2094399.14693354,V6J,2.5805945974189
Marpole,17.2312223858616,88.4901199644856,11.1,47.6,17.7,1810594.04467354,V5X,18.4901199644856
Mount Pleasant,15.668202764977,81.941100259119,9,73.2,9.5,1918589.49206656,V5T,8.941100259119
Oakridge,38.2165605095541,73.3916652156248,15.7,37.2,26.9,3818827.37799835,V6M,28.3916652156248
Renfrew-Collingwood,30.2961275626424,87.8052039144659,13.9,52.5,17.4,1567869.4809845,V5M,26.8052039144659
Riley Park,39.6694214876033,78.6343808421615,6.8,51.2,16.7,1676938.61629048,V5V,18.6343808421615
South Cambie,26.4367816091954,66.8972847821511,3.5,50.5,22.5,1904853.74331551,V5Z,17.8972847821511
Strathcona,29.3701933070048,87.1430691273339,61.3,66.7,26.1,1912623.72613308,V6A,19.1430691273339
Sunset,32.5581395348837,75.1782999308915,8.4,51.1,17.2,1914706.7179846,V5W,26.1782999308915
Victoria-Fraserview,64.9442755825735,60.1963303928481,16.4,43.7,23.6,1626421.46453089,V5P,24.1963303928481
West End,53.0316742081448,75.1393093837872,8,50.3,16.5,6144323.85883976,V6E,15.1393093837872
West Point Grey,73.5294117647059,67.4745351657235,13.6,38.6,21.6,3380791.31701632,V6R,39.4745351657235
