FSA,CURRENT_HOUSE_PRICE,Local Area
V5K,1573221.50943396,Hastings-Sunrise
V5L,1433185.42147436,Grandview-Woodland
V5M,1667120.65471551,Renfrew-Collingwood
V5N,1441204.73919833,Kensington-Cedar Cottage
V5P,1581550.22650057,Victoria-Fraserview
V5R,1391947.58164531,Renfrew-Collingwood
V5S,1482693.63648294,Killarney
V5T,1455631.88152767,Mount Pleasant
V5V,1688073.11320755,Riley Park
V5W,1911987.60399334,Sunset
V5X,1758997.00784034,Oakridge
V5Y,2663317.31843575,Mount Pleasant
V5Z,1771296.33898305,South Cambie
V6A,1830612.02614379,Strathcona
V6B,2066514.38232044,Downtown
V6C,14591604.3478261,Downtown
V6E,1827852.06560847,West End
V6G,2674457.35735736,West End
V6H,2445654.90584737,Fairview
V6J,2238211.59793814,Kitsilano
V6K,2036878.89471083,Kitsilano
V6L,3503909.75609756,Dunbar-Southlands
V6M,3599739.5087001,Arbutus-Ridge
V6N,3897313.07769929,Kerrisdale
V6P,2944610.19341349,Marpole
V6R,3307297.58865248,West Point Grey
V6S,3384719.55307263,Dunbar-Southlands
V6T,14955169.2307692,West End
V6Z,1010634.30927835,Downtown
